"","x"
"1","Ralstonia.0001"
"2","Ralstonia.0002"
"3","Streptococcus.0002"
"4","Prevotella.0002"
"5","Alloprevotella.0001"
"6","Prevotella.0003"
"7","Parvimonas.0001"
"8","Peptostreptococcus.0001"
"9","Order.Gp2.0002"
"10","Kingdom.Bacteria.0001"
"11","Pelomonas.0001"
"12","Burkholderia.0001"
"","x"
"1","Streptococcus.0001"
"2","Fusobacterium.0001"
"3","Prevotella.0001"
"4","Veillonella.0002"
"5","Propionibacterium.0001"
"6","Propionibacterium.0002"
"7","Order.Gp2.0001"
"8","Delftia.0001"
"9","Stenotrophomonas.0001"
"10","Oribacterium.0001"
"11","Pseudomonas.0002"
"12","Staphylococcus.0001"
"13","Actinomyces.0001"
"14","Megasphaera.0001"
"15","Actinomyces.0003"
